Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Temperature,Precipitation,Weather_Condition,Hour,Month,DayOfWeek,DayOfYear,IsWeekend,IsRushHour,IsMorningRush,IsEveningRush,Season,IsExtremeTemp,TempCategory,HasPrecipitation,HeavyPrecipitation,IsMajorStation,AvgDelay_7days,DelayCount_7days,DelayCategory,IsSignificantDelay,Station_encoded,Code_encoded,Bound_encoded,Line_encoded,Weather_Condition_encoded,Season_encoded,TempCategory_encoded,DelayCategory_encoded
2023-01-01,09:00:00,Sunday,BLOOR-YONGE,EUNT,2,3,N,BD,5733,9.7,1.0,Clear,9,1,6,1,1,1,1,0,Winter,0,Cool,1,0,1,2.0,1.0,Minor,0,0,0,1,0,0,2,0,1
2023-01-01,18:00:00,Sunday,BLOOR-YONGE,EUNT,1,1,N,BD,5972,9.7,1.0,Clear,18,1,6,1,1,1,0,1,Winter,0,Cool,1,0,1,1.5,2.0,Minor,0,0,0,1,0,0,2,0,1
2023-01-11,13:00:00,Wednesday,BLOOR-YONGE,MURS,8,12,E,SHP,5945,20.5,0.0,Rain,13,1,2,11,0,0,0,0,Winter,0,Warm,0,0,1,3.6666666666666665,3.0,Major,1,0,1,0,1,2,2,2,0
2023-01-22,08:00:00,Sunday,BLOOR-YONGE,MURS,2,4,N,SHP,5064,18.4,0.7,Cloudy,8,1,6,22,1,1,1,0,Winter,0,Mild,1,0,1,3.25,4.0,Minor,0,0,1,1,1,1,2,1,1
2023-01-27,04:00:00,Friday,BLOOR-YONGE,EUNT,1,1,W,SRT,5993,23.1,1.6,Clear,4,1,4,27,0,0,0,0,Winter,0,Warm,1,0,1,2.8,5.0,Minor,0,0,0,3,2,0,2,2,1
2023-02-02,06:00:00,Thursday,BLOOR-YONGE,TUSC,1,1,E,YU,5680,21.6,0.0,Cloudy,6,2,3,33,0,0,0,0,Winter,0,Warm,0,0,1,2.5,6.0,Minor,0,0,4,0,3,1,2,2,1
2023-02-03,07:00:00,Friday,BLOOR-YONGE,MURS,8,12,N,YU,5717,23.1,13.5,Cloudy,7,2,4,34,0,1,1,0,Winter,0,Warm,1,1,1,3.2857142857142856,7.0,Major,1,0,1,1,3,1,2,2,0
2023-02-05,00:00:00,Sunday,BLOOR-YONGE,MUSAN,1,2,E,BD,5272,27.5,0.0,Clear,0,2,6,36,1,0,0,0,Winter,0,Warm,0,0,1,3.142857142857143,7.0,Minor,0,0,2,0,0,0,2,2,1
2023-02-08,07:00:00,Wednesday,BLOOR-YONGE,TUSC,3,4,S,BD,5786,17.3,2.2,Rain,7,2,2,39,0,1,1,0,Winter,0,Mild,1,0,1,3.4285714285714284,7.0,Moderate,0,0,4,2,0,2,2,1,2
2023-02-10,00:00:00,Friday,BLOOR-YONGE,MURS,3,4,W,YU,5628,20.7,1.3,Clear,0,2,4,41,0,0,0,0,Winter,0,Warm,1,0,1,2.7142857142857144,7.0,Moderate,0,0,1,3,3,0,2,2,2
2023-02-11,10:00:00,Saturday,BLOOR-YONGE,EUNT,2,3,N,YU,5053,18.3,0.0,Clear,10,2,5,42,1,0,0,0,Winter,0,Mild,0,0,1,2.7142857142857144,7.0,Minor,0,0,0,1,3,0,2,1,1
2023-02-13,19:00:00,Monday,BLOOR-YONGE,PUSC,3,5,N,SHP,5634,28.8,0.0,Clear,19,2,0,44,0,1,0,1,Winter,0,Warm,0,0,1,3.0,7.0,Moderate,0,0,3,1,1,0,2,2,2
2023-02-20,05:00:00,Monday,BLOOR-YONGE,TUSC,2,3,E,YU,5009,13.7,0.9,Cloudy,5,2,0,51,0,0,0,0,Winter,0,Mild,1,0,1,3.142857142857143,7.0,Minor,0,0,4,0,3,1,2,1,1
2023-02-20,18:00:00,Monday,BLOOR-YONGE,PUSC,1,1,E,BD,5824,13.7,0.9,Cloudy,18,2,0,51,0,1,0,1,Winter,0,Mild,1,0,1,2.142857142857143,7.0,Minor,0,0,3,0,0,1,2,1,1
2023-02-21,01:00:00,Tuesday,BLOOR-YONGE,MURS,5,7,S,SRT,5322,19.1,2.2,Clear,1,2,1,52,0,0,0,0,Winter,0,Mild,1,0,1,2.7142857142857144,7.0,Moderate,0,0,1,2,2,0,2,1,2
2023-02-21,08:00:00,Tuesday,BLOOR-YONGE,MUSAN,1,1,N,BD,5689,19.1,2.2,Clear,8,2,1,52,0,1,1,0,Winter,0,Mild,1,0,1,2.4285714285714284,7.0,Minor,0,0,2,1,0,0,2,1,1
2023-02-22,09:00:00,Wednesday,BLOOR-YONGE,EUNT,8,13,E,BD,5028,26.5,0.5,Clear,9,2,2,53,0,1,1,0,Winter,0,Warm,1,0,1,3.142857142857143,7.0,Major,1,0,0,0,0,0,2,2,0
2023-02-27,02:00:00,Monday,BLOOR-YONGE,MURS,3,5,N,BD,5348,13.9,1.0,Rain,2,2,0,58,0,0,0,0,Winter,0,Mild,1,0,1,3.2857142857142856,7.0,Moderate,0,0,1,1,0,2,2,1,2
2023-02-28,10:00:00,Tuesday,BLOOR-YONGE,EUNT,4,6,S,SRT,5620,25.6,2.5,Clear,10,2,1,59,0,0,0,0,Winter,0,Warm,1,0,1,3.4285714285714284,7.0,Moderate,0,0,0,2,2,0,2,2,2
2023-03-04,19:00:00,Saturday,BLOOR-YONGE,MURS,1,1,S,YU,5072,26.4,0.0,Cloudy,19,3,5,63,1,1,0,1,Spring,0,Warm,0,0,1,3.2857142857142856,7.0,Minor,0,0,1,2,3,1,0,2,1
2023-03-04,23:00:00,Saturday,BLOOR-YONGE,PUSC,1,1,E,BD,5129,26.4,0.0,Cloudy,23,3,5,63,1,0,0,0,Spring,0,Warm,0,0,1,3.2857142857142856,7.0,Minor,0,0,3,0,0,1,0,2,1
2023-03-14,08:00:00,Tuesday,BLOOR-YONGE,MUSAN,2,3,S,BD,5433,21.4,0.8,Clear,8,3,1,73,0,1,1,0,Spring,0,Warm,1,0,1,2.857142857142857,7.0,Minor,0,0,2,2,0,0,0,2,1
2023-03-14,21:00:00,Tuesday,BLOOR-YONGE,TUSC,6,9,N,BD,5996,21.4,0.8,Clear,21,3,1,73,0,0,0,0,Spring,0,Warm,1,0,1,3.5714285714285716,7.0,Major,1,0,4,1,0,0,0,2,0
2023-03-16,11:00:00,Thursday,BLOOR-YONGE,MUSAN,1,2,E,BD,5805,22.7,0.6,Cloudy,11,3,3,75,0,0,0,0,Spring,0,Warm,1,0,1,2.5714285714285716,7.0,Minor,0,0,2,0,0,1,0,2,1
2023-03-17,18:00:00,Friday,BLOOR-YONGE,PUSC,1,1,E,SHP,5618,21.2,2.5,Snow,18,3,4,76,0,1,0,1,Spring,0,Warm,1,0,1,2.2857142857142856,7.0,Minor,0,0,3,0,1,3,0,2,1
2023-03-21,15:00:00,Tuesday,BLOOR-YONGE,MUSAN,6,9,E,BD,5743,26.7,1.6,Rain,15,3,1,80,0,0,0,0,Spring,0,Warm,1,0,1,2.5714285714285716,7.0,Major,1,0,2,0,0,2,0,2,0
2023-03-26,16:00:00,Sunday,BLOOR-YONGE,MUSAN,1,1,E,YU,5536,19.1,0.7,Rain,16,3,6,85,1,0,0,0,Spring,0,Mild,1,0,1,2.5714285714285716,7.0,Minor,0,0,2,0,3,2,0,1,1
2023-03-28,08:00:00,Tuesday,BLOOR-YONGE,TUSC,7,11,N,SHP,5333,26.7,0.0,Clear,8,3,1,87,0,1,1,0,Spring,0,Warm,0,0,1,3.4285714285714284,7.0,Major,1,0,4,1,1,0,0,2,0
2023-03-29,19:00:00,Wednesday,BLOOR-YONGE,MURS,1,2,W,SRT,5294,20.1,2.1,Clear,19,3,2,88,0,1,0,1,Spring,0,Warm,1,0,1,3.2857142857142856,7.0,Minor,0,0,1,3,2,0,0,2,1
2023-03-30,21:00:00,Thursday,BLOOR-YONGE,PUSC,2,3,E,SHP,5619,30.9,0.0,Clear,21,3,3,89,0,0,0,0,Spring,1,Warm,0,0,1,2.7142857142857144,7.0,Minor,0,0,3,0,1,0,0,2,1
2023-04-02,07:00:00,Sunday,BLOOR-YONGE,TUSC,1,1,S,SRT,5360,30.8,0.5,Snow,7,4,6,92,1,1,1,0,Spring,1,Warm,1,0,1,2.7142857142857144,7.0,Minor,0,0,4,2,2,3,0,2,1
2023-04-05,08:00:00,Wednesday,BLOOR-YONGE,MURS,1,2,E,SRT,5817,25.2,0.8,Clear,8,4,2,95,0,1,1,0,Spring,0,Warm,1,0,1,2.7142857142857144,7.0,Minor,0,0,1,0,2,0,0,2,1
2023-04-06,17:00:00,Thursday,BLOOR-YONGE,EUNT,1,1,W,YU,5660,29.1,0.0,Rain,17,4,3,96,0,1,0,1,Spring,0,Warm,0,0,1,2.0,7.0,Minor,0,0,0,3,3,2,0,2,1
2023-04-08,01:00:00,Saturday,BLOOR-YONGE,TUSC,2,4,S,YU,5975,27.8,0.2,Snow,1,4,5,98,1,0,0,0,Spring,0,Warm,1,0,1,2.142857142857143,7.0,Minor,0,0,4,2,3,3,0,2,1
2023-04-08,16:00:00,Saturday,BLOOR-YONGE,PUSC,6,9,E,SRT,5788,27.8,0.2,Snow,16,4,5,98,1,0,0,0,Spring,0,Warm,1,0,1,2.0,7.0,Major,1,0,3,0,2,3,0,2,0
2023-04-08,23:00:00,Saturday,BLOOR-YONGE,EUNT,5,8,W,BD,5363,27.8,0.2,Snow,23,4,5,98,1,0,0,0,Spring,0,Warm,1,0,1,2.5714285714285716,7.0,Moderate,0,0,0,3,0,3,0,2,2
2023-04-10,07:00:00,Monday,BLOOR-YONGE,TUSC,3,4,N,BD,5827,28.4,0.0,Clear,7,4,0,100,0,1,1,0,Spring,0,Warm,0,0,1,2.7142857142857144,7.0,Moderate,0,0,4,1,0,0,0,2,2
2023-04-14,17:00:00,Friday,BLOOR-YONGE,MURS,2,3,N,BD,5207,25.7,0.2,Cloudy,17,4,4,104,0,1,0,1,Spring,0,Warm,1,0,1,2.857142857142857,7.0,Minor,0,0,1,1,0,1,0,2,1
